date,lowest,volume,amount,avg_price,opening,closing,highest,quantity
2017-08-05,9678.27274,5589561.40448534,4997,10347.01364827,9770.0,10275.09999,11000.0,540.21011226
2017-08-06,10099.0,1271419.49181008,1677,10349.56945313,10350.0,10235.0,10500.0,122.84757328
2017-08-07,10231.21905,3963659.92370324,4084,10707.39101163,10231.21905,10900.0,10950.98,370.17980565
2017-08-08,10750.0,4317693.23884808,4446,11015.54676357,10900.0,11100.01,11400.0,391.96358851
2017-08-09,10853.0,3552118.21937237,3592,11116.86418561,11100.01,11179.99981,11349.0,319.52519704
2017-08-10,11094.26,3488037.53872848,3263,11290.6891553,11178.99999,11327.0,11400.0,308.93043735
2017-08-11,11327.00003,6944944.1354811,5416,12068.81757915,11389.0,12199.99,12995.0,575.44528202
2017-08-12,12200.0,4300157.28963278,3181,12690.78103132,12200.0,12823.0,12999.99899,338.84102791
2017-08-13,12800.0,2899900.52402191,2076,12933.57403548,12879.99,13149.97796,13200.0,224.21493982
2017-08-14,13017.0,10450855.96895311,8267,14186.08506975,13055.00105,14500.0,14998.0,736.69768069
2017-08-15,11150.0,11652323.92814247,7723,13178.31578148,14499.9999,13300.0,14594.0,884.20433395
2017-08-16,13300.0,5324334.93456231,5088,13898.18504221,13300.0,13872.01002,14299.0,383.09570051
2017-08-17,13785.0,5379632.25718107,4878,14280.38782813,13872.01001,14300.90702,14499.0,376.71471685
2017-08-18,13900.0,4925698.70240537,4259,14203.07007496,14300.90701,14126.022,14471.0,346.80521017
2017-08-19,13900.0,2561380.57824204,2249,14026.70013251,14130.04501,14099.99999,14269.0,182.60749528
2017-08-20,13935.00002,638956.66296072,774,14021.19622093,14003.00001,14070.0,14100.0,45.57076678
2017-08-21,13263.92352,5541366.37490036,4683,13800.01557225,13973.0,13263.92352,14070.0,401.54783492
2017-08-22,13000.0,5370753.66796095,4665,13793.19092545,13331.0,14099.47,14299.0,389.37717146
2017-08-23,14030.0,4516847.3438948,3904,14234.36285909,14075.0,14250.0,14500.0,317.31995233
2017-08-24,14070.0,4544505.34453442,4159,14419.30872031,14250.0,14670.0,14795.0,315.16804534
2017-08-25,14550.0,4912985.0048181,4556,14813.18312227,14670.0,14745.0,14999.99997,331.66301694
2017-08-26,14700.99,2090930.51741017,2260,14828.49735699,14745.0,14830.0,14949.0,141.00757933
2017-08-27,14710.5,1893150.55879219,1880,14827.54714165,14930.99999,14879.0,14947.99,127.67793221
2017-08-28,14758.0,6611645.95342382,4847,15079.58310711,14880.0,15280.0,15300.0,438.45018171
2017-08-29,15181.0,10296837.99671937,6320,16062.62905341,15285.0,16600.0,16685.0,641.04312952
2017-08-30,16300.0,6301168.09392405,4766,16735.42362382,16600.0,17197.0,17200.0,376.51679668
2017-08-31,16810.0,13479181.97092934,8626,18061.52391535,17198.0,18201.0,19500.0,746.29261817
2017-09-01,17702.0,15016115.28891776,7255,18417.26290102,18201.0,18379.9599,18895.0,815.3282803
2017-09-02,16552.0,10773679.54270708,5702,17583.59928575,18379.91984,17710.0,18379.91984,612.71184401
2017-09-03,17300.0,4920959.70011358,2901,17597.0690142,17710.0,17680.99101,18000.0,279.64655342
2017-09-04,14451.0,19521577.81965257,10137,16572.77489604,17767.969,16551.02211,17900.0,1177.93054827
