date,lowest,volume,amount,avg_price,opening,closing,highest,quantity
2017-05-29,105.0,360353.85802806,1302,111.44939113,111.77,112.99,114.0,3233.34075112
2017-05-30,110.0,396648.23463675,990,111.84674874,112.99,110.0,114.0,3546.3546245
2017-05-31,105.35,287646.722124,906,106.79666606,110.0,107.9,110.0,2693.40544722
2017-06-01,105.35,708179.34955615,1686,111.67992221,106.50942,109.1,119.95,6341.15188779
2017-06-02,99.99,295503.06289521,1016,104.78781323,109.1,104.95,111.5,2820.01364266
2017-06-03,98.0,185107.04241874,495,100.58876903,103.0,100.65,104.8,1840.23568637
2017-06-04,99.0,112814.80644499,348,101.78297456,100.65,102.0,105.3,1108.3858271
2017-06-05,100.8,471359.44230697,1166,107.83865649,102.0,108.59,114.0,4370.96916478
2017-06-06,104.99,380934.78636656,1096,106.79735597,107.21,106.14,109.99999,3566.89342083
2017-06-07,104.9,189222.07671913,671,106.20599274,105.50001,105.99,107.9,1781.65159828
2017-06-08,102.5,394474.17259521,882,106.14021607,105.65,107.5,110.0,3716.53824729
2017-06-09,104.0,256820.25908446,741,105.7487943,106.01001,104.59,107.4,2428.58805887
2017-06-10,103.16,247736.76871283,866,104.67017721,104.59,104.5,107.0,2366.83241888
2017-06-11,103.59903,407686.56892293,833,108.07076457,104.50001,108.25168,110.1,3772.4038553
2017-06-12,102.01,556053.84337433,1143,105.22585969,108.3,107.15999,109.93,5284.38394339
2017-06-13,105.3,160529.21055731,488,106.55969302,107.15999,107.9,107.9,1506.47215671
2017-06-14,105.8,335862.69738138,578,107.93425205,107.4,108.0,109.0,3111.73414374
2017-06-15,101.9,248723.34081953,976,104.39371402,108.0,103.69244,109.99,2382.55093385
2017-06-16,103.5,1030331.46825531,2174,118.04410861,104.01973,125.6,136.0,8728.35993566
2017-06-17,125.2701,2405401.90540765,2952,144.4800822,126.99,150.0,159.99,16648.67481235
2017-06-18,135.1,1040968.55199493,1809,143.89285971,150.0,145.8,158.0,7234.33083556
2017-06-19,144.02,1314118.0805004,2203,164.13108891,145.79,165.0,169.99,8006.51533593
2017-06-20,145.0,700609.14898117,1351,155.74045648,165.0,154.1,165.0,4498.56873936
2017-06-21,151.01,498038.19309477,870,155.21832988,156.0,156.0,157.86999,3208.6300213
2017-06-22,154.12,420556.28751705,986,159.73080407,155.9998,159.4,163.2,2632.9065953
2017-06-23,157.2,314781.79511892,1331,160.29550298,161.28999,161.0,162.74,1963.75936489
2017-06-24,153.0,192149.73051985,689,156.27797777,161.00001,154.50006,161.01,1229.53811701
2017-06-25,150.0,461958.15571686,836,151.88373133,156.39994,152.62998,156.96,3041.52493281
2017-06-26,130.0,1049036.93776897,1673,141.48761949,152.62999,141.98,153.989,7414.33732207
2017-06-27,131.3,481026.4729995,908,138.07918335,141.0,141.3,144.49,3483.70015918
2017-06-28,141.003,423643.33610188,670,145.75538851,141.25,146.11199,149.89998,2906.53635813
2017-06-29,144.0,164851.06643798,539,145.33961524,146.99999,144.5,147.0,1134.24730185
2017-06-30,143.55604,282377.68181474,635,145.57373011,144.5,144.42,146.81999,1939.7571361
2017-07-01,136.78,292191.09997308,470,139.95157812,144.16,139.0,144.19,2087.80139452
2017-07-02,138.1,137202.00767975,405,142.15540184,139.0,145.0,145.0,965.15507607
2017-07-03,143.2001,1298380.56267118,1566,155.88182085,144.9,161.5,161.98,8329.2622297
2017-07-04,161.49999,1911619.56591496,2647,176.16739597,161.49999,184.3,193.0,10851.1541273
2017-07-05,170.0,906531.05741293,1972,179.7353091,184.3,177.0,191.01,5043.70043908
2017-07-06,169.0,411833.026216,1249,173.78551168,178.71,173.56,178.85,2369.77767733
2017-07-07,160.2,435315.69351085,1000,165.39765152,173.56,162.0,173.96,2631.93394536
2017-07-08,161.8,436570.90152917,796,169.99959202,162.0,172.01399,177.98,2568.07028964
2017-07-09,169.5,129293.72080091,293,172.1367423,173.97,173.0,174.5,751.11053617
2017-07-10,158.0,867563.14375204,1195,164.23937443,170.58281,159.62,173.97777,5282.30910977
2017-07-11,150.25,736241.45800609,1225,154.75486749,159.62,150.6,163.0,4757.46882776
2017-07-12,150.51,537921.28466146,945,158.94352095,152.88,164.99,164.99,3384.35490438
2017-07-13,157.0,355428.50171498,587,160.22768622,164.98,158.48999,164.99,2218.2714492
2017-07-14,141.00001,821294.42035865,1308,151.98530013,158.0,141.00001,159.1,5403.77536269
2017-07-15,111.55,1090515.31999687,1487,127.66680691,141.64505,120.81,145.75,8541.88607369
2017-07-16,110.0,469343.42303108,919,115.73997317,122.00012,119.9999,126.99,4055.15406793
2017-07-17,115.01,847215.44272404,1406,136.6033138,115.2273,138.0,150.0,6202.0123753
2017-07-18,132.0,314328.31600318,734,143.51913968,136.12,140.52,148.0,2190.14910974
2017-07-19,137.1,428395.93399407,869,141.72843747,141.8,140.90001,148.99,3022.65333367
